iteration,adaptive_avg_regret,greedy_avg_regret,random_avg_regret
0,0.300,0.267,0.300
1,0.533,0.433,0.633
2,0.833,0.633,1.067
3,1.167,0.933,1.500
4,1.433,1.267,1.767
5,1.700,1.533,2.100
6,2.133,1.667,2.400
7,2.433,1.933,2.733
8,2.767,2.167,3.033
9,2.967,2.500,3.333
10,3.333,2.700,3.667
11,3.600,3.067,4.067
12,3.967,3.400,4.433
13,4.433,3.533,4.833
14,4.767,3.667,5.267
15,5.100,3.833,5.700
16,5.300,4.067,6.033
17,5.667,4.167,6.333
18,5.967,4.300,6.733
19,6.333,4.400,7.067
20,6.800,4.567,7.433
21,7.200,4.833,7.833
22,7.533,5.133,8.000
23,7.867,5.333,8.433
24,8.200,5.567,8.800
25,8.533,5.733,8.967
26,9.067,5.900,9.300
27,9.433,6.133,9.700
28,9.833,6.367,10.033
29,10.300,6.567,10.533
30,10.767,6.833,10.800
31,10.967,7.200,11.167
32,11.233,7.533,11.433
33,11.567,7.900,11.833
34,11.833,8.233,12.167
35,12.100,8.567,12.533
36,12.433,8.767,12.967
37,12.767,9.100,13.400
38,13.067,9.433,13.600
39,13.300,9.833,13.800
40,13.467,10.167,14.200
41,13.700,10.467,14.567
42,13.900,10.733,15.000
43,14.400,11.033,15.267
44,14.733,11.467,15.533
45,15.400,11.700,15.867
46,15.700,12.133,16.133
47,15.933,12.467,16.433
48,16.267,12.867,16.733
49,16.633,13.133,17.300
50,16.900,13.467,17.667
51,17.167,13.700,18.100
52,17.433,14.000,18.400
53,17.700,14.267,18.667
54,18.000,14.633,19.000
55,18.333,14.933,19.300
56,18.700,15.300,19.700
57,19.133,15.600,19.967
58,19.400,15.767,20.333
59,19.833,16.200,20.567
60,20.100,16.533,20.800
61,20.433,16.733,21.167
62,20.900,16.767,21.567
63,21.400,16.900,22.000
64,21.733,17.167,22.333
65,22.100,17.367,22.700
66,22.533,17.500,23.000
67,23.000,17.733,23.567
68,23.467,17.967,24.000
69,23.833,18.167,24.433
70,24.233,18.200,24.700
71,24.767,18.267,25.200
72,25.100,18.500,25.567
73,25.300,18.700,25.933
74,25.633,18.833,26.267
75,26.167,19.067,26.733
76,26.433,19.267,27.067
77,26.767,19.400,27.400
78,27.167,19.700,27.933
79,27.467,19.900,28.200
80,27.933,19.933,28.667
81,28.333,20.133,29.300
82,28.700,20.267,29.700
83,29.167,20.433,30.167
84,29.567,20.533,30.500
85,30.067,20.733,30.933
86,30.500,20.933,31.400
87,30.767,21.067,31.767
88,31.067,21.167,32.100
89,31.567,21.367,32.467
90,32.033,21.500,32.967
91,32.167,21.733,33.367
92,32.733,21.967,33.500
93,33.167,22.167,33.867
94,33.567,22.300,34.367
95,34.000,22.467,34.667
96,34.400,22.600,35.000
97,34.667,22.700,35.233
98,35.067,22.867,35.633
99,35.533,23.100,36.067